Competition,Home Team,Away Team,Date,Venue,Home Score,Away Score
Christy Ring Cup,Tyrone,Derry,10/05/2025,"Eoghan Ruadh, Dungannon",Invalid score,Invalid score
Christy Ring Cup,Wicklow,Meath,10/05/2025,"Echelon Park, Aughrim",Invalid score,Invalid score
Nickey Rackard Cup,Armagh,Louth,10/05/2025,"BOX-IT Athletic Grounds, Armagh",Invalid score,Invalid score
Nickey Rackard Cup,Mayo,Sligo,10/05/2025,"Hastings Insurance MacHale Park, Castlebar",Invalid score,Invalid score
Lory Meagher Cup,Lancashire,Monaghan,10/05/2025,Abbottstown - GAA Centre of Excellence,Invalid score,Invalid score
Lory Meagher Cup,Longford,Cavan,10/05/2025,Glennon Brothers Pearse Park,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Waterford,Kilkenny,10/05/2025,Lemybrien,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Wexford,Laois,10/05/2025,,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Limerick,Wicklow,10/05/2025,Mick Neville Park Rathkeale,Invalid score,Invalid score
Joe McDonagh Cup,Carlow,Kildare,10/05/2025,Netwatch Cullen Park,Invalid score,Invalid score
Joe McDonagh Cup,Westmeath,Down,10/05/2025,"TEG Cusack Park, Mullingar",Invalid score,Invalid score
Tailteann Cup,Limerick,London,10/05/2025,Mick Neville Park Rathkeale,Invalid score,Invalid score
Tailteann Cup,Offaly,Wicklow,10/05/2025,Glenisk O'Connor Park,Invalid score,Invalid score
Tailteann Cup,Laois,Waterford,10/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Tailteann Cup,Kildare,Leitrim,10/05/2025,Cedral St Conleth's Newbridge,Invalid score,Invalid score
Tailteann Cup,Wexford,Longford,10/05/2025,Chadwicks Wexford Park,Invalid score,Invalid score
Leinster GAA Football Senior Championship,Meath,Louth,11/05/2025,Páirc an Chrócaigh,Invalid score,Invalid score
Nickey Rackard Cup,Roscommon,Fermanagh,11/05/2025,"King & Moffatt Dr Hyde Park, Roscommon",Invalid score,Invalid score
Lory Meagher Cup,Warwickshire,Leitrim,11/05/2025,"Páirc na hÉireann, Birmingham",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 Championship,Kerry,Tyrone,11/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 B Championship,Limerick,Monaghan,11/05/2025,Moorefield,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Fermanagh,Longford,11/05/2025,"Shamrock Park, Roslea",Invalid score,Invalid score
Joe McDonagh Cup,Laois,Kerry,11/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Tailteann Cup,Sligo,Tipperary,11/05/2025,Tubbercurry,Invalid score,Invalid score
Tailteann Cup,Westmeath,Antrim,11/05/2025,"TEG Cusack Park, Mullingar",Invalid score,Invalid score
Tailteann Cup,Fermanagh,Carlow,11/05/2025,"Brewster Park, Enniskillen",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 B Championship,Leitrim,Westmeath,14/05/2025,"King & Moffatt Dr Hyde Park, Roscommon",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 Championship,Mayo,Louth,16/05/2025,Glennon Brothers Pearse Park,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Connacht Runner-Up (Galway / Mayo),Cavan,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Munster Winner (Clare / Kerry),Roscommon,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Munster Runner-Up (Clare / Kerry),Down,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Connacht Winner (Galway / Mayo),Dublin,17/05/2025,No venue available,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Galway,Antrim,17/05/2025,Pearse Stadium,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Wexford,Offaly,17/05/2025,Chadwicks Wexford Park,Invalid score,Invalid score
Christy Ring Cup,Derry,Wicklow,17/05/2025,Celtic Park,Invalid score,Invalid score
Christy Ring Cup,Meath,Donegal,17/05/2025,Trim,Invalid score,Invalid score
Christy Ring Cup,London,Tyrone,17/05/2025,"McGovern Park, Ruislip",Invalid score,Invalid score
Nickey Rackard Cup,Fermanagh,Mayo,17/05/2025,"Brewster Park, Enniskillen",Invalid score,Invalid score
Nickey Rackard Cup,Sligo,Armagh,17/05/2025,Kilcoyne Park,Invalid score,Invalid score
Nickey Rackard Cup,Louth,Roscommon,17/05/2025,"Páirc Naomh Bríd, Dowdallshill",Invalid score,Invalid score
Lory Meagher Cup,Warwickshire,Lancashire,17/05/2025,"Páirc na hÉireann, Birmingham",Invalid score,Invalid score
Lory Meagher Cup,Monaghan,Longford,17/05/2025,"Grattan Park, Inniskeen",Invalid score,Invalid score
Lory Meagher Cup,Cavan,Leitrim,17/05/2025,"Kingspan Breffni, Cavan",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 B Championship,Semi-Final Winner,Semi-Final Winner,17/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Westmeath,Carlow,17/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Down,Kerry,17/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Laois,Kildare,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Leitrim,Sligo,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Tipperary,Kildare,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Carlow,Wexford,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Longford,Fermanagh,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Antrim,Limerick,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,London,Westmeath,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Wicklow,Laois,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Waterford,Offaly,17/05/2025,No venue available,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Kilkenny,Dublin,18/05/2025,UPMC Nowlan Park,Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Tipperary,Waterford,18/05/2025,"FBD Semple Stadium, Thurles",Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Limerick,Cork,18/05/2025,TUS Gaelic Grounds,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Leinster Winner (Meath / Louth),Monaghan,24/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Leinster Runner Up (Meath / Louth),Cork,24/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Ulster Winner (Armagh / Donegal),Tyrone,24/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Ulster Runner-Up (Armagh / Donegal),Derry,24/05/2025,No venue available,Invalid score,Invalid score
Lory Meagher Cup,2nd Placed Team,New York,24/05/2025,Parnell Park,Invalid score,Invalid score
Joe McDonagh Cup,Carlow,Laois,24/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Kildare,Down,24/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Kerry,Westmeath,24/05/2025,No venue available,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Offaly,Antrim,25/05/2025,Glenisk O'Connor Park,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Dublin,Galway,25/05/2025,Parnell Park,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Wexford,Kilkenny,25/05/2025,Chadwicks Wexford Park,Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Cork,Waterford,25/05/2025,"SuperValu Páirc Uí Chaoimh, Cork",Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Limerick,Clare,25/05/2025,TUS Gaelic Grounds,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Derry,Connacht Winner (Galway / Mayo),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Dublin,Ulster Runner-Up (Armagh / Donegal),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Tyrone,Connacht Runner-Up (Gawlay / Mayo),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Cavan,Ulster Winner (Armagh / Donegal),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Cork,Munster Winner (Clare / Kerry),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Roscommon,Leinster Runner Up (Meath / Louth),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Monaghan,Munster Runner-Up (Clare / Kerry),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Down,Leinster Winner (Meath / Louth),31/05/2025,No venue available,Invalid score,Invalid score
Christy Ring Cup,Semi-Final Winner,Semi-Final Winner,31/05/2025,No venue available,Invalid score,Invalid score
Nickey Rackard Cup,Semi-Final Winner,Semi-Final Winner,31/05/2025,No venue available,Invalid score,Invalid score
Lory Meagher Cup,1st Placed Team,Semi-Final Winner,31/05/2025,No venue available,Invalid score,Invalid score
oneills.com GAA Hurling All-Ireland U20 Championship,Leinster,Munster,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Leitrim,Tipperary,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Kildare,Sligo,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Antrim,London,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Westmeath,Limerick,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Wicklow,Waterford,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Offaly,Laois,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Carlow,Longford,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Fermanagh,Wexford,31/05/2025,No venue available,Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Waterford,Limerick,03/05/2025,"Walsh Park, Waterford",0-22,0-28
GAA Hurling All-Ireland U20B Championship - Richie McElligott Cup,Down,Tyrone,03/05/2025,"Kingspan Breffni, Cavan",1-22,4-11
GAA Hurling All-Ireland U20C Championship - Andrew O'Neill Cup,Armagh,Monaghan,03/05/2025,"Kingspan Breffni, Cavan",2-21,1-10
Connacht GAA Football Senior Championship,Mayo,Galway,04/05/2025,"Hastings Insurance MacHale Park, Castlebar",1-15,1-17
Munster GAA Football Senior Championship,Kerry,Clare,04/05/2025,Fitzgerald Stadium,4-20,0-21
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Sligo,London,09/05/2025,Connacht GAA Centre,Invalid score,Invalid score
Ulster GAA Football Senior Championship,Armagh,Donegal,10/05/2025,"St. Tiernach's Park, Clones",Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Galway,Wexford,10/05/2025,Pearse Stadium,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Antrim,Dublin,10/05/2025,"Corrigan Park, Belfast",Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Kilkenny,Offaly,10/05/2025,UPMC Nowlan Park,Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Clare,Tipperary,10/05/2025,"Zimmer Biomet Páirc Chíosóg, Ennis",Invalid score,Invalid score
Christy Ring Cup,Donegal,London,10/05/2025,Letterkenny,Invalid score,Invalid score
Christy Ring Cup,Tyrone,Derry,10/05/2025,"Eoghan Ruadh, Dungannon",Invalid score,Invalid score
Christy Ring Cup,Wicklow,Meath,10/05/2025,"Echelon Park, Aughrim",Invalid score,Invalid score
Nickey Rackard Cup,Armagh,Louth,10/05/2025,"BOX-IT Athletic Grounds, Armagh",Invalid score,Invalid score
Nickey Rackard Cup,Mayo,Sligo,10/05/2025,"Hastings Insurance MacHale Park, Castlebar",Invalid score,Invalid score
Lory Meagher Cup,Lancashire,Monaghan,10/05/2025,Abbottstown - GAA Centre of Excellence,Invalid score,Invalid score
Lory Meagher Cup,Longford,Cavan,10/05/2025,Glennon Brothers Pearse Park,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Waterford,Kilkenny,10/05/2025,Lemybrien,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Wexford,Laois,10/05/2025,,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Limerick,Wicklow,10/05/2025,Mick Neville Park Rathkeale,Invalid score,Invalid score
Joe McDonagh Cup,Carlow,Kildare,10/05/2025,Netwatch Cullen Park,Invalid score,Invalid score
Joe McDonagh Cup,Westmeath,Down,10/05/2025,"TEG Cusack Park, Mullingar",Invalid score,Invalid score
Tailteann Cup,Limerick,London,10/05/2025,Mick Neville Park Rathkeale,Invalid score,Invalid score
Tailteann Cup,Offaly,Wicklow,10/05/2025,Glenisk O'Connor Park,Invalid score,Invalid score
Tailteann Cup,Laois,Waterford,10/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Tailteann Cup,Kildare,Leitrim,10/05/2025,Cedral St Conleth's Newbridge,Invalid score,Invalid score
Tailteann Cup,Wexford,Longford,10/05/2025,Chadwicks Wexford Park,Invalid score,Invalid score
Leinster GAA Football Senior Championship,Meath,Louth,11/05/2025,Páirc an Chrócaigh,Invalid score,Invalid score
Nickey Rackard Cup,Roscommon,Fermanagh,11/05/2025,"King & Moffatt Dr Hyde Park, Roscommon",Invalid score,Invalid score
Lory Meagher Cup,Warwickshire,Leitrim,11/05/2025,"Páirc na hÉireann, Birmingham",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 Championship,Kerry,Tyrone,11/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 B Championship,Limerick,Monaghan,11/05/2025,Moorefield,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Fermanagh,Longford,11/05/2025,"Shamrock Park, Roslea",Invalid score,Invalid score
Joe McDonagh Cup,Laois,Kerry,11/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Tailteann Cup,Sligo,Tipperary,11/05/2025,Tubbercurry,Invalid score,Invalid score
Tailteann Cup,Westmeath,Antrim,11/05/2025,"TEG Cusack Park, Mullingar",Invalid score,Invalid score
Tailteann Cup,Fermanagh,Carlow,11/05/2025,"Brewster Park, Enniskillen",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 B Championship,Leitrim,Westmeath,14/05/2025,"King & Moffatt Dr Hyde Park, Roscommon",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 Championship,Mayo,Louth,16/05/2025,Glennon Brothers Pearse Park,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Galway,Dublin,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Mayo,Cavan,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Kerry,Roscommon,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Clare,Down,17/05/2025,No venue available,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Galway,Antrim,17/05/2025,Pearse Stadium,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Wexford,Offaly,17/05/2025,Chadwicks Wexford Park,Invalid score,Invalid score
Christy Ring Cup,Derry,Wicklow,17/05/2025,Celtic Park,Invalid score,Invalid score
Christy Ring Cup,Meath,Donegal,17/05/2025,Trim,Invalid score,Invalid score
Christy Ring Cup,London,Tyrone,17/05/2025,"McGovern Park, Ruislip",Invalid score,Invalid score
Nickey Rackard Cup,Fermanagh,Mayo,17/05/2025,"Brewster Park, Enniskillen",Invalid score,Invalid score
Nickey Rackard Cup,Sligo,Armagh,17/05/2025,Kilcoyne Park,Invalid score,Invalid score
Nickey Rackard Cup,Louth,Roscommon,17/05/2025,"Páirc Naomh Bríd, Dowdallshill",Invalid score,Invalid score
Lory Meagher Cup,Warwickshire,Lancashire,17/05/2025,"Páirc na hÉireann, Birmingham",Invalid score,Invalid score
Lory Meagher Cup,Monaghan,Longford,17/05/2025,"Grattan Park, Inniskeen",Invalid score,Invalid score
Lory Meagher Cup,Cavan,Leitrim,17/05/2025,"Kingspan Breffni, Cavan",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 B Championship,Semi-Final Winner,Semi-Final Winner,17/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Westmeath,Carlow,17/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Down,Kerry,17/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Laois,Kildare,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Leitrim,Sligo,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Tipperary,Kildare,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Wicklow,Laois,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Waterford,Offaly,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Antrim,Limerick,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,London,Westmeath,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Carlow,Wexford,17/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Longford,Fermanagh,17/05/2025,No venue available,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Kilkenny,Dublin,18/05/2025,UPMC Nowlan Park,Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Tipperary,Waterford,18/05/2025,"FBD Semple Stadium, Thurles",Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Limerick,Cork,18/05/2025,TUS Gaelic Grounds,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Ulster Runner-Up (Armagh / Donegal),Derry,24/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Leinster Winner (Meath / Louth),Monaghan,24/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Ulster Winner (Armagh / Donegal),Tyrone,24/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Leinster Runner Up (Meath / Louth),Cork,24/05/2025,No venue available,Invalid score,Invalid score
Lory Meagher Cup,2nd Placed Team,New York,24/05/2025,Parnell Park,Invalid score,Invalid score
Joe McDonagh Cup,Carlow,Laois,24/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Kildare,Down,24/05/2025,No venue available,Invalid score,Invalid score
Joe McDonagh Cup,Kerry,Westmeath,24/05/2025,No venue available,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Offaly,Antrim,25/05/2025,Glenisk O'Connor Park,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Dublin,Galway,25/05/2025,Parnell Park,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Wexford,Kilkenny,25/05/2025,Chadwicks Wexford Park,Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Cork,Waterford,25/05/2025,"SuperValu Páirc Uí Chaoimh, Cork",Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Limerick,Clare,25/05/2025,TUS Gaelic Grounds,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Cork,Kerry,31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Roscommon,Leinster Runner Up (Meath / Louth),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Tyrone,Mayo,31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Cavan,Ulster Winner (Armagh / Donegal),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Monaghan,Clare,31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Down,Leinster Winner (Meath / Louth),31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Derry,Galway,31/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Dublin,Ulster Runner-Up (Armagh / Donegal),31/05/2025,No venue available,Invalid score,Invalid score
Christy Ring Cup,Semi-Final Winner,Semi-Final Winner,31/05/2025,No venue available,Invalid score,Invalid score
Nickey Rackard Cup,Semi-Final Winner,Semi-Final Winner,31/05/2025,No venue available,Invalid score,Invalid score
Lory Meagher Cup,1st Placed Team,Semi-Final Winner,31/05/2025,No venue available,Invalid score,Invalid score
oneills.com GAA Hurling All-Ireland U20 Championship,Leinster,Munster,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Antrim,London,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Westmeath,Limerick,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Wicklow,Waterford,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Offaly,Laois,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Leitrim,Tipperary,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Kildare,Sligo,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Carlow,Longford,31/05/2025,No venue available,Invalid score,Invalid score
Tailteann Cup,Fermanagh,Wexford,31/05/2025,No venue available,Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Waterford,Limerick,03/05/2025,"Walsh Park, Waterford",0-22,0-28
GAA Hurling All-Ireland U20B Championship - Richie McElligott Cup,Down,Tyrone,03/05/2025,"Kingspan Breffni, Cavan",1-22,4-11
GAA Hurling All-Ireland U20C Championship - Andrew O'Neill Cup,Armagh,Monaghan,03/05/2025,"Kingspan Breffni, Cavan",2-21,1-10
Connacht GAA Football Senior Championship,Mayo,Galway,04/05/2025,"Hastings Insurance MacHale Park, Castlebar",1-15,1-17
Munster GAA Football Senior Championship,Kerry,Clare,04/05/2025,Fitzgerald Stadium,4-20,0-21
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Sligo,London,09/05/2025,Connacht GAA Centre,Invalid score,Invalid score
Ulster GAA Football Senior Championship,Armagh,Donegal,10/05/2025,"St. Tiernach's Park, Clones",Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Galway,Wexford,10/05/2025,Pearse Stadium,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Antrim,Dublin,10/05/2025,"Corrigan Park, Belfast",Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Kilkenny,Offaly,10/05/2025,UPMC Nowlan Park,Invalid score,Invalid score
Munster GAA Hurling Senior Championship,Clare,Tipperary,10/05/2025,"Zimmer Biomet Páirc Chíosóg, Ennis",Invalid score,Invalid score
Christy Ring Cup,Donegal,London,10/05/2025,Letterkenny,Invalid score,Invalid score
Christy Ring Cup,Tyrone,Derry,10/05/2025,"Eoghan Ruadh, Dungannon",Invalid score,Invalid score
Christy Ring Cup,Wicklow,Meath,10/05/2025,"Echelon Park, Aughrim",Invalid score,Invalid score
Nickey Rackard Cup,Armagh,Louth,10/05/2025,"BOX-IT Athletic Grounds, Armagh",Invalid score,Invalid score
Nickey Rackard Cup,Mayo,Sligo,10/05/2025,"Hastings Insurance MacHale Park, Castlebar",Invalid score,Invalid score
Lory Meagher Cup,Lancashire,Monaghan,10/05/2025,Abbottstown - GAA Centre of Excellence,Invalid score,Invalid score
Lory Meagher Cup,Longford,Cavan,10/05/2025,Glennon Brothers Pearse Park,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Waterford,Kilkenny,10/05/2025,Lemybrien,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Wexford,Laois,10/05/2025,,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Limerick,Wicklow,10/05/2025,Mick Neville Park Rathkeale,Invalid score,Invalid score
Joe McDonagh Cup,Carlow,Kildare,10/05/2025,Netwatch Cullen Park,Invalid score,Invalid score
Joe McDonagh Cup,Westmeath,Down,10/05/2025,"TEG Cusack Park, Mullingar",Invalid score,Invalid score
Tailteann Cup,Limerick,London,10/05/2025,Newcastle West,Invalid score,Invalid score
Tailteann Cup,Offaly,Wicklow,10/05/2025,Glenisk O'Connor Park,Invalid score,Invalid score
Tailteann Cup,Laois,Waterford,10/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Tailteann Cup,Kildare,Leitrim,10/05/2025,Cedral St Conleth's Newbridge,Invalid score,Invalid score
Tailteann Cup,Wexford,Longford,10/05/2025,Chadwicks Wexford Park,Invalid score,Invalid score
Leinster GAA Football Senior Championship,Meath,Louth,11/05/2025,Páirc an Chrócaigh,Invalid score,Invalid score
Nickey Rackard Cup,Roscommon,Fermanagh,11/05/2025,"King & Moffatt Dr Hyde Park, Roscommon",Invalid score,Invalid score
Lory Meagher Cup,Warwickshire,Leitrim,11/05/2025,"Páirc na hÉireann, Birmingham",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 Championship,Kerry,Tyrone,11/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 B Championship,Limerick,Monaghan,11/05/2025,Moorefield,Invalid score,Invalid score
2025 Electric Ireland GAA Football All-Ireland Minor Championship,Fermanagh,Longford,11/05/2025,"Shamrock Park, Roslea",Invalid score,Invalid score
Joe McDonagh Cup,Laois,Kerry,11/05/2025,"Laois Hire O'Moore Park, Portlaoise",Invalid score,Invalid score
Tailteann Cup,Sligo,Tipperary,11/05/2025,Tubbercurry,Invalid score,Invalid score
Tailteann Cup,Westmeath,Antrim,11/05/2025,"TEG Cusack Park, Mullingar",Invalid score,Invalid score
Tailteann Cup,Fermanagh,Carlow,11/05/2025,"Brewster Park, Enniskillen",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 B Championship,Leitrim,Westmeath,14/05/2025,"King & Moffatt Dr Hyde Park, Roscommon",Invalid score,Invalid score
Dalata Hotel Group GAA Football All-Ireland U20 Championship,Mayo,Louth,16/05/2025,Glennon Brothers Pearse Park,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Mayo,Cavan,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Kerry,Roscommon,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Clare,Down,17/05/2025,No venue available,Invalid score,Invalid score
GAA Football All-Ireland Senior Championship,Galway,Dublin,17/05/2025,No venue available,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Galway,Antrim,17/05/2025,Pearse Stadium,Invalid score,Invalid score
Leinster GAA Hurling Senior Championship,Wexford,Offaly,17/05/2025,Chadwicks Wexford Park,Invalid score,Invalid score
Christy Ring Cup,Derry,Wicklow,17/05/2025,Celtic Park,Invalid score,Invalid score
Christy Ring Cup,Meath,Donegal,17/05/2025,Trim,Invalid score,Invalid score
Christy Ring Cup,London,Tyrone,17/05/2025,"McGovern Park, Ruislip",Invalid score,Invalid score
Nickey Rackard Cup,Fermanagh,Mayo,17/05/2025,"Brewster Park, Enniskillen",Invalid score,Invalid score
Nickey Rackard Cup,Sligo,Armagh,17/05/2025,Kilcoyne Park,Invalid score,Invalid score
Nickey Rackard Cup,Louth,Roscommon,17/05/2025,"Páirc Naomh Bríd, Dowdallshill",Invalid score,Invalid score
