Competition,Home Team,Away Team,Date,Venue,Home Score,Away Score
Allianz Hurling League Roinn 4,Warwickshire,Lancashire,02/02/2025,"P�irc na h�ireann, Birmingham",1-18,3-12
Allianz Football League Roinn 1,Kerry,Donegal,08/02/2025,Fitzgerald Stadium,1-18,0-23
Allianz Football League Roinn 3,Leitrim,Laois,08/02/2025,"P�irc Se�n U� Esl�n, Ballinamore",0-6,3-20
Allianz Football League Roinn 4,Wicklow,Waterford,08/02/2025,"Echelon Park, Aughrim",3-17,1-19
Allianz Hurling League Roinn 1A,Wexford,Kilkenny,08/02/2025,Chadwicks Wexford Park,0-15,2-17
Allianz Hurling League Roinn 1A,Galway,Clare,08/02/2025,Pearse Stadium,2-21,0-20
Allianz Hurling League Roinn 4,Warwickshire,Louth,08/02/2025,"P�irc na h�ireann, Birmingham",2-7,0-25
Allianz Hurling League Roinn 4,Longford,Leitrim,08/02/2025,Glennon Brothers Pearse Park,1-11,0-17
Allianz Hurling League Roinn 1A,Limerick,Tipperary,09/02/2025,TUS Gaelic Grounds,0-30,1-23
Allianz Hurling League Roinn 1B,Offaly,Antrim,09/02/2025,Glenisk O'Connor Park,2-26,0-17
Allianz Hurling League Roinn 1B,Waterford,Laois,09/02/2025,"Walsh Park, Waterford",1-27,0-20
Allianz Hurling League Roinn 1B,Westmeath,Dublin,09/02/2025,"TEG Cusack Park, Mullingar",0-18,1-22
Allianz Hurling League Roinn 2,Kerry,Derry,09/02/2025,Austin Stack Park,5-20,1-12
Allianz Hurling League Roinn 2,Tyrone,Meath,09/02/2025,Garvaghey,2-14,2-22
Allianz Hurling League Roinn 2,Down,Donegal,09/02/2025,Ballycran,3-17,0-17
Allianz Hurling League Roinn 3,London,Cavan,09/02/2025,"McGovern Park, Ruislip",1-19,1-10
Allianz Hurling League Roinn 3,Armagh,Wicklow,09/02/2025,"BOX-IT Athletic Grounds, Armagh",0-16,2-19
Allianz Hurling League Roinn 3,Sligo,Mayo,09/02/2025,Enniscrone,0-13,1-12
Allianz Hurling League Roinn 4,Fermanagh,Monaghan,09/02/2025,"Brewster Park, Enniskillen",2-14,0-15
Allianz Football League Roinn 1,Derry,Galway,15/02/2025,Celtic Park,0-16,1-13
Allianz Football League Roinn 1,Kerry,Dublin,15/02/2025,Austin Stack Park,1-15,0-19
Allianz Football League Roinn 2,Cork,Westmeath,15/02/2025,"SuperValu P�irc U� Chaoimh, Cork",3-18,3-17
Allianz Football League Roinn 2,Down,Meath,15/02/2025,"P�irc Esler, Newry",1-18,0-24
Allianz Football League Roinn 4,Wexford,Carlow,15/02/2025,Chadwicks Wexford Park,2-12,0-9
Allianz Football League Roinn 1,Mayo,Tyrone,16/02/2025,"Hastings Insurance MacHale Park, Castlebar",0-12,0-10
Allianz Football League Roinn 1,Donegal,Armagh,16/02/2025,Ballybofey,0-21,1-10
Allianz Football League Roinn 2,Cavan,Louth,16/02/2025,"Kingspan Breffni, Cavan",3-15,0-18
Allianz Football League Roinn 2,Roscommon,Monaghan,16/02/2025,"King & Moffatt Dr Hyde Park, Roscommon",0-25,2-14
Allianz Football League Roinn 3,Laois,Sligo,16/02/2025,"Laois Hire O'Moore Park, Portlaoise",0-23,0-16
Allianz Football League Roinn 3,Clare,Fermanagh,16/02/2025,"Zimmer Biomet P�irc Ch�os�g, Ennis",1-17,1-15
Allianz Football League Roinn 3,Leitrim,Kildare,16/02/2025,"P�irc Se�n U� Esl�n, Ballinamore",0-7,1-27
Allianz Football League Roinn 3,Offaly,Antrim,16/02/2025,Glenisk O'Connor Park,4-19,0-15
Allianz Football League Roinn 4,London,Limerick,16/02/2025,"McGovern Park, Ruislip",0-11,1-16
Allianz Football League Roinn 4,Waterford,Tipperary,16/02/2025,"Walsh Park, Waterford",0-9,1-14
Allianz Football League Roinn 4,Wicklow,Longford,16/02/2025,"Echelon Park, Aughrim",2-15,0-12
Allianz Hurling League Roinn 1B,Westmeath,Laois,16/02/2025,"TEG Cusack Park, Mullingar",1-19,4-18
Allianz Hurling League Roinn 3,Mayo,Cavan,16/02/2025,Tooreen (Adrian Freeman Park),1-23,2-14
Allianz Football League Roinn 1,Armagh,Mayo,22/02/2025,"BOX-IT Athletic Grounds, Armagh",1-17,1-17
Allianz Football League Roinn 1,Dublin,Derry,22/02/2025,P�irc an Chr�caigh,3-20,2-12
Allianz Football League Roinn 2,Monaghan,Cork,22/02/2025,"Grattan Park, Inniskeen",3-16,1-15
Allianz Football League Roinn 3,Antrim,Leitrim,22/02/2025,"Corrigan Park, Belfast",4-16,1-11
Allianz Football League Roinn 3,Kildare,Laois,22/02/2025,Cedral St Conleth's Park,0-21,0-9
Allianz Football League Roinn 4,Tipperary,London,22/02/2025,"FBD Semple Stadium, Thurles",0-17,2-13
Allianz Football League Roinn 4,Carlow,Limerick,22/02/2025,Netwatch Cullen Park,0-13,1-17
Allianz Hurling League Roinn 1A,Tipperary,Cork,22/02/2025,"FBD Semple Stadium, Thurles",2-22,1-21
Allianz Hurling League Roinn 1B,Dublin,Offaly,22/02/2025,P�irc an Chr�caigh,1-23,0-27
Allianz Hurling League Roinn 2,Derry,Kildare,22/02/2025,Celtic Park,0-17,2-25
Allianz Hurling League Roinn 3,Mayo,London,22/02/2025,Connacht Centre of Excellence,1-17,2-16
Allianz Hurling League Roinn 4,Monaghan,Warwickshire,22/02/2025,"St. Tiernach's Park, Clones",3-19,0-15
Allianz Hurling League Roinn 4,Longford,Lancashire,22/02/2025,Glennon Brothers Pearse Park,2-12,2-10
Allianz Football League Roinn 1,Tyrone,Kerry,23/02/2025,Pomeroy,2-13,3-13
Allianz Football League Roinn 1,Galway,Donegal,23/02/2025,Pearse Stadium,0-21,0-14
Allianz Football League Roinn 2,Westmeath,Cavan,23/02/2025,"TEG Cusack Park, Mullingar",0-21,1-22
Allianz Football League Roinn 2,Louth,Down,23/02/2025,"Integral GAA Grounds, Drogheda",2-17,0-22
Allianz Football League Roinn 2,Meath,Roscommon,23/02/2025,"P�irc Tailteann, Navan",2-18,0-17
Allianz Football League Roinn 3,Fermanagh,Offaly,23/02/2025,"St Josephs Park, Ederney",1-13,3-6
Allianz Football League Roinn 4,Longford,Waterford,23/02/2025,Glennon Brothers Pearse Park,2-11,1-12
Allianz Hurling League Roinn 1A,Clare,Wexford,23/02/2025,"Zimmer Biomet P�irc Ch�os�g, Ennis",1-17,1-23
Allianz Hurling League Roinn 1B,Antrim,Waterford,23/02/2025,"Corrigan Park, Belfast",0-11,2-23
Allianz Hurling League Roinn 2,Donegal,Kerry,23/02/2025,Letterkenny,5-14,3-16
Allianz Hurling League Roinn 3,Wicklow,Roscommon,23/02/2025,Bray Emmets GAA Club,4-19,2-13
Allianz Hurling League Roinn 4,Louth,Leitrim,23/02/2025,"Protection & Prosperity Louth GAA Training Centre, Darver",0-13,1-10
Allianz Football League Roinn 1,Mayo,Kerry,01/03/2025,"Hastings Insurance MacHale Park, Castlebar",0-21,1-16
Allianz Football League Roinn 1,Armagh,Dublin,01/03/2025,"BOX-IT Athletic Grounds, Armagh",1-20,1-12
Allianz Football League Roinn 2,Cavan,Down,01/03/2025,"Kingspan Breffni, Cavan",1-20,1-18
Allianz Football League Roinn 2,Cork,Roscommon,01/03/2025,"SuperValu P�irc U� Chaoimh, Cork",0-13,2-21
Allianz Football League Roinn 3,Laois,Antrim,01/03/2025,"Laois Hire O'Moore Park, Portlaoise",0-22,1-17
Allianz Football League Roinn 3,Fermanagh,Sligo,01/03/2025,"Brewster Park, Enniskillen",0-19,0-19
Allianz Football League Roinn 4,Waterford,Wexford,01/03/2025,"Cappoquin Logistics Fraher Field, Dungarvan",0-11,2-17
Allianz Football League Roinn 4,Limerick,Tipperary,01/03/2025,Mick Neville Park Rathkeale,2-21,3-8
Allianz Hurling League Roinn 1A,Wexford,Galway,01/03/2025,Chadwicks Wexford Park,1-20,2-19
Allianz Hurling League Roinn 1A,Cork,Kilkenny,01/03/2025,"SuperValu P�irc U� Chaoimh, Cork",1-22,2-16
Allianz Hurling League Roinn 2,Kerry,Meath,01/03/2025,Austin Stack Park,1-20,0-20
Allianz Hurling League Roinn 4,Leitrim,Monaghan,01/03/2025,Glennon Brothers Pearse Park,1-18,0-16
Allianz Hurling League Roinn 4,Lancashire,Louth,01/03/2025,Abbottstown - GAA Centre of Excellence,2-10,0-30
Allianz Hurling League Roinn 4,Louth,Galway,01/03/2025,"Kingspan Breffni, Cavan",0-26,1-6
Allianz Hurling League Roinn 4,Louth,Galway,01/03/2025,"Fethard Town Park, All Weather Pitch",2-16,5-21
Allianz Football League Roinn 1,Galway,Tyrone,02/03/2025,Tuam Stadium,1-18,1-18
Allianz Football League Roinn 1,Donegal,Derry,02/03/2025,Ballyshannon,1-22,1-19
Allianz Football League Roinn 2,Louth,Monaghan,02/03/2025,"Integral GAA Grounds, Drogheda",1-21,1-27
Allianz Football League Roinn 2,Westmeath,Meath,02/03/2025,"TEG Cusack Park, Mullingar",1-17,3-14
Allianz Football League Roinn 3,Leitrim,Offaly,02/03/2025,"P�irc Se�n U� Esl�n, Ballinamore",1-9,1-13
Allianz Football League Roinn 3,Clare,Kildare,02/03/2025,"Zimmer Biomet P�irc Ch�os�g, Ennis",2-12,0-16
Allianz Football League Roinn 4,London,Longford,02/03/2025,"McGovern Park, Ruislip",1-12,0-16
Allianz Football League Roinn 4,Wicklow,Carlow,02/03/2025,"Echelon Park, Aughrim",2-18,2-14
Allianz Hurling League Roinn 1A,Limerick,Clare,02/03/2025,TUS Gaelic Grounds,0-21,1-21
Allianz Hurling League Roinn 1B,Offaly,Westmeath,02/03/2025,Glenisk O'Connor Park,1-22,0-19
Allianz Hurling League Roinn 1B,Waterford,Dublin,02/03/2025,"Walsh Park, Waterford",1-23,2-18
Allianz Hurling League Roinn 1B,Carlow,Antrim,02/03/2025,Netwatch Cullen Park,1-21,2-18
Allianz Hurling League Roinn 2,Kildare,Donegal,02/03/2025,Cedral St Conleth's Park,3-21,1-15
Allianz Hurling League Roinn 2,Down,Tyrone,02/03/2025,Ballycran,9-26,0-13
Allianz Hurling League Roinn 3,Cavan,Wicklow,02/03/2025,"Kingspan Breffni, Cavan",2-20,1-18
Allianz Hurling League Roinn 3,Mayo,Roscommon,02/03/2025,Tooreen (Adrian Freeman Park),3-25,1-12
Allianz Hurling League Roinn 3,Sligo,Armagh,02/03/2025,"Markievicz Park, Sligo",1-19,3-15
Allianz Hurling League Roinn 4,Warwickshire,Fermanagh,02/03/2025,"P�irc na h�ireann, Birmingham",1-12,0-18
Allianz Football League Roinn 4,Wexford,Wicklow,08/03/2025,Chadwicks Wexford Park,0-20,0-12
Allianz Hurling League Roinn 1A,Limerick,Galway,08/03/2025,TUS Gaelic Grounds,1-27,0-18
Allianz Hurling League Roinn 1B,Dublin,Carlow,08/03/2025,Parnell Park,2-29,3-17
Allianz Hurling League Roinn 2,Kildare,Tyrone,08/03/2025,Cedral St Conleth's Park,2-34,0-8
Allianz Hurling League Roinn 2,Derry,Meath,08/03/2025,Celtic Park,1-27,1-24
Allianz Hurling League Roinn 3,London,Sligo,08/03/2025,"McGovern Park, Ruislip",2-20,0-18
Allianz Hurling League Roinn 3,Roscommon,Cavan,08/03/2025,"King & Moffatt Dr Hyde Park, Roscommon",1-19,0-19
Allianz Hurling League Roinn 4,Louth,Longford,08/03/2025,"P�irc Naomh Br�d, Dowdallshill",0-22,2-8
Allianz Hurling League Roinn 4,Monaghan,Lancashire,08/03/2025,"Grattan Park, Inniskeen",0-20,4-20
Allianz Hurling League Roinn 4,Fermanagh,Leitrim,08/03/2025,"Brewster Park, Enniskillen",0-21,1-16
Allianz Football League Roinn 3,Sligo,Clare,09/03/2025,"Markievicz Park, Sligo",1-19,2-14
Allianz Hurling League Roinn 1A,Kilkenny,Tipperary,09/03/2025,UPMC Nowlan Park,1-19,2-25
Allianz Hurling League Roinn 1A,Clare,Cork,09/03/2025,"Zimmer Biomet P�irc Ch�os�g, Ennis",0-23,6-20
Allianz Hurling League Roinn 1B,Antrim,Laois,09/03/2025,"Corrigan Park, Belfast",4-22,0-21
Allianz Hurling League Roinn 1B,Westmeath,Waterford,09/03/2025,"TEG Cusack Park, Mullingar",0-24,7-34
Allianz Hurling League Roinn 2,Kerry,Down,09/03/2025,Austin Stack Park,1-23,0-28
Allianz Hurling League Roinn 3,Armagh,Mayo,09/03/2025,"BOX-IT Athletic Grounds, Armagh",1-18,3-21
Allianz Hurling League Roinn 3,Mayo,Kerry,14/03/2025,Carlow IT,1-15,2-11
Allianz Football League Roinn 1,Kerry,Armagh,15/03/2025,Austin Stack Park,2-21,0-17
Allianz Football League Roinn 1,Dublin,Galway,15/03/2025,P�irc an Chr�caigh,2-19,2-13
Allianz Football League Roinn 2,Down,Westmeath,15/03/2025,"P�irc Esler, Newry",1-26,0-28
Allianz Football League Roinn 3,Laois,Clare,15/03/2025,"Laois Hire O'Moore Park, Portlaoise",1-21,2-22
Allianz Football League Roinn 4,Carlow,Longford,15/03/2025,Netwatch Cullen Park,2-20,0-14
Allianz Football League Roinn 4,Wexford,Tipperary,15/03/2025,Chadwicks Wexford Park,1-13,1-12
Allianz Football League Roinn 4,Waterford,London,15/03/2025,"Cappoquin Logistics Fraher Field, Dungarvan",1-19,2-11
Allianz Hurling League Roinn 1A,Kilkenny,Limerick,15/03/2025,UPMC Nowlan Park,0-29,0-20
Allianz Hurling League Roinn 1B,Laois,Carlow,15/03/2025,"Laois Hire O'Moore Park, Portlaoise",0-29,2-26
Allianz Hurling League Roinn 2,Meath,Down,15/03/2025,Trim,2-30,4-21
Allianz Hurling League Roinn 3,Cavan,Armagh,15/03/2025,"Kingspan Breffni, Cavan",2-15,2-21
Allianz Football League Roinn 1,Derry,Mayo,16/03/2025,Celtic Park,1-17,2-19
Allianz Football League Roinn 1,Donegal,Tyrone,16/03/2025,Letterkenny,0-19,0-25
Allianz Football League Roinn 2,Meath,Monaghan,16/03/2025,"P�irc Tailteann, Navan",1-20,1-29
Allianz Football League Roinn 2,Cork,Louth,16/03/2025,"SuperValu P�irc U� Chaoimh, Cork",1-23,0-18
Allianz Football League Roinn 2,Roscommon,Cavan,16/03/2025,"King & Moffatt Dr Hyde Park, Roscommon",0-20,0-22
Allianz Football League Roinn 3,Leitrim,Fermanagh,16/03/2025,"P�irc Se�n U� Esl�n, Ballinamore",0-20,0-22
Allianz Football League Roinn 3,Offaly,Kildare,16/03/2025,Glenisk O'Connor Park,2-17,0-17
Allianz Football League Roinn 3,Antrim,Sligo,16/03/2025,"Corrigan Park, Belfast",1-15,1-18
Allianz Football League Roinn 4,Wicklow,Limerick,16/03/2025,"Echelon Park, Aughrim",3-15,1-21
Allianz Hurling League Roinn 1A,Limerick,Wexford,22/03/2025,TUS Gaelic Grounds,1-12,1-19
Allianz Hurling League Roinn 1A,Tipperary,Clare,22/03/2025,"FBD Semple Stadium, Thurles",0-22,1-18
Allianz Hurling League Roinn 1A,Cork,Galway,22/03/2025,"SuperValu P�irc U� Chaoimh, Cork",4-22,0-22
Allianz Hurling League Roinn 1B,Waterford,Offaly,22/03/2025,"Walsh Park, Waterford",0-22,1-11
Allianz Hurling League Roinn 1B,Laois,Dublin,22/03/2025,"Laois Hire O'Moore Park, Portlaoise",0-13,2-21
Allianz Hurling League Roinn 1B,Carlow,Westmeath,22/03/2025,Netwatch Cullen Park,3-15,3-18
Allianz Hurling League Roinn 2,Donegal,Derry,22/03/2025,Letterkenny,0-9,2-23
Allianz Hurling League Roinn 2,Meath,Kildare,22/03/2025,Trim,1-14,1-24
Allianz Hurling League Roinn 2,Tyrone,Kerry,22/03/2025,Garvaghey,1-13,1-19
Allianz Hurling League Roinn 3,Wicklow,Mayo,22/03/2025,"Echelon Park, Aughrim",2-15,4-15
Allianz Hurling League Roinn 3,Roscommon,Sligo,22/03/2025,Connacht Centre of Excellence,2-15,2-13
Allianz Hurling League Roinn 3,Armagh,London,22/03/2025,"BOX-IT Athletic Grounds, Armagh",0-10,2-15
Allianz Hurling League Roinn 4,Leitrim,Warwickshire,22/03/2025,Connacht Centre of Excellence,0-7,4-14
Allianz Hurling League Roinn 4,Longford,Monaghan,22/03/2025,Glennon Brothers Pearse Park,3-15,2-13
Allianz Hurling League Roinn 4,Lancashire,Fermanagh,22/03/2025,Abbottstown - GAA Centre of Excellence,1-10,2-21
Allianz Football League Roinn 1,Galway,Kerry,23/03/2025,Pearse Stadium,2-19,3-24
Allianz Football League Roinn 1,Mayo,Donegal,23/03/2025,"Hastings Insurance MacHale Park, Castlebar",1-18,1-16
Allianz Football League Roinn 1,Armagh,Derry,23/03/2025,"BOX-IT Athletic Grounds, Armagh",4-24,1-18
Allianz Football League Roinn 1,Tyrone,Dublin,23/03/2025,"O'Neills Healy Park, Omagh",2-20,1-16
Allianz Football League Roinn 2,Monaghan,Down,23/03/2025,"St. Tiernach's Park, Clones",2-17,0-24
Allianz Football League Roinn 2,Louth,Meath,23/03/2025,"Grattan Park, Inniskeen",1-19,0-17
Allianz Football League Roinn 2,Westmeath,Roscommon,23/03/2025,"TEG Cusack Park, Mullingar",1-19,2-16
Allianz Football League Roinn 2,Cavan,Cork,23/03/2025,"Kingspan Breffni, Cavan",0-19,0-21
Allianz Football League Roinn 3,Fermanagh,Laois,23/03/2025,"Brewster Park, Enniskillen",1-18,2-13
Allianz Football League Roinn 3,Clare,Offaly,23/03/2025,"Zimmer Biomet P�irc Ch�os�g, Ennis",2-14,2-9
Allianz Football League Roinn 3,Sligo,Leitrim,23/03/2025,"Markievicz Park, Sligo",0-32,0-10
Allianz Football League Roinn 3,Kildare,Antrim,23/03/2025,Cedral St Conleth's Park,1-26,1-15
Allianz Football League Roinn 4,Longford,Wexford,23/03/2025,Glennon Brothers Pearse Park,1-10,2-18
Allianz Football League Roinn 4,Limerick,Waterford,23/03/2025,Mick Neville Park Rathkeale,4-24,1-17
Allianz Football League Roinn 4,Tipperary,Wicklow,23/03/2025,Clonmel,0-12,0-21
Allianz Football League Roinn 4,London,Carlow,23/03/2025,"McGovern Park, Ruislip",1-17,1-18
Allianz Football League Roinn 4,Roscommon,Wicklow,29/03/2025,"King & Moffatt Dr Hyde Park, Roscommon",2-24,5-16
Allianz Football League Roinn 4,Derry,Sligo,29/03/2025,Owenbeg,3-22,0-7
Allianz Football League Roinn 4,Leitrim,Armagh,29/03/2025,"Orchard Park, Elphin GAA, Co. Roscommon",0-10,2-16
Allianz Football League Roinn 2,Monaghan,Roscommon,29/03/2025,P�irc an Chr�caigh,1-26,0-19
Allianz Football League Roinn 4,Limerick,Wexford,29/03/2025,P�irc an Chr�caigh,3-11,0-18
Allianz Hurling League Roinn 2,Down,Kildare,29/03/2025,"Grattan Park, Inniskeen",4-22,3-18
